model,return
Aggressive,16.18381
Aggressive,15.61809
Aggressive,14.82018
Aggressive,15.05971
Aggressive,15.05032
Aggressive,13.93955
Aggressive,13.9941425
Aggressive,13.6692675
Aggressive,11.653985
Aggressive,12.27024
Aggressive,12.4953675
Aggressive,13.9588
Aggressive,13.521645
Aggressive,14.2012375
Aggressive,12.71641
Aggressive,12.072605
Aggressive,10.5138375
Aggressive,9.505565
Aggressive,8.36307
Aggressive,7.384975
Aggressive,7.558405
Aggressive,6.73554
Aggressive,6.6201625
Aggressive,6.7003
Aggressive,7.0982925
Aggressive,5.9342125
Aggressive,4.1859025
Aggressive,4.501635
Aggressive,4.7314125
Aggressive,5.8230825
Aggressive,5.930675
Aggressive,5.63188
Aggressive,6.4947175
Aggressive,7.16005
Aggressive,6.0071125
Aggressive,6.709855
Aggressive,6.18892
Aggressive,5.9639025
Aggressive,5.07987
Aggressive,4.6137675
Aggressive,5.065535
Aggressive,4.729605
Aggressive,5.9641175
Aggressive,6.17241
Aggressive,6.478105
Aggressive,6.1898
Aggressive,4.7537525
Aggressive,4.760845
Aggressive,5.43233
Aggressive,3.50008
Aggressive,3.03479
Aggressive,4.158745
Aggressive,4.1749375
Aggressive,2.7505475
Aggressive,2.818585
Aggressive,2.5081525
Aggressive,2.1236275
Aggressive,1.84261
Aggressive,4.7793475
Aggressive,4.755985
Aggressive,3.55492
Aggressive,4.155375
Aggressive,2.5807175
Aggressive,2.7496975
Aggressive,1.9062475
Aggressive,2.4630825
Aggressive,2.75394
Aggressive,2.3571275
Aggressive,2.8713875
Aggressive,2.88025
Aggressive,3.3011375
Aggressive,2.9216925
Aggressive,1.89074
Aggressive,1.62811
Aggressive,-1.7150775
Aggressive,-2.20018
Aggressive,-0.630705
Aggressive,-0.5801675
Aggressive,-1.2473425
Aggressive,-2.0295625
Aggressive,-2.791185
Aggressive,-1.83858
Aggressive,-2.04438
Aggressive,-2.41805
Aggressive,-2.83823
Aggressive,-2.002595
Aggressive,-0.8921
Aggressive,-2.3743525
Aggressive,-2.5123375
Aggressive,-2.423565
Aggressive,-1.57254
Aggressive,-2.0871525
Aggressive,-1.7663075
Aggressive,-2.2249275
Aggressive,-3.0363575
Aggressive,-6.00654
Aggressive,-6.1622725
Aggressive,-7.63727
Aggressive,-6.8344675
Aggressive,-7.9323025
Aggressive,-7.92916
Aggressive,-7.2610225
Aggressive,-6.6528025
Aggressive,-7.1843425
Aggressive,-6.998075
Aggressive,-7.071505
Aggressive,-7.194535
Aggressive,-7.50133
Aggressive,-8.25545
Aggressive,-7.1592425
Aggressive,-8.18315
Aggressive,-8.726855
Aggressive,-8.9160825
Aggressive,-9.513715
Aggressive,-8.8355025
Aggressive,-7.480555
Aggressive,-6.9933675
Aggressive,-8.7641625
Aggressive,-8.9748225
Aggressive,-9.04691
Aggressive,-9.204145
Aggressive,-8.908245
Aggressive,-9.436575
Aggressive,-11.46409
Aggressive,-10.9893125
Aggressive,-11.144795
Aggressive,-12.57659
Aggressive,-12.112485
Aggressive,-11.9243125
Aggressive,-12.3663325
Aggressive,-14.7133975
Aggressive,-14.093985
Aggressive,-13.7481875
Aggressive,-12.1548125
Aggressive,-12.17141
Aggressive,-11.78893
Aggressive,-13.2109575
Aggressive,-12.8801825
Aggressive,-13.5500725
Aggressive,-13.99468
Aggressive,-14.4520075
Aggressive,-14.2124975
Aggressive,-13.2067775
Aggressive,-12.183815
Aggressive,-12.4570875
Aggressive,-12.727295
Aggressive,-13.206735
Aggressive,-12.1621975
Aggressive,-11.999975
Aggressive,-12.91419
Aggressive,-13.4599
Aggressive,-13.9973375
Aggressive,-14.2861725
Aggressive,-14.0943075
Aggressive,-13.970085
Aggressive,-15.05485
Aggressive,-14.263525
Aggressive,-14.4690775
Aggressive,-15.04579
Aggressive,-14.4270225
Aggressive,-13.1478775
Aggressive,-11.6028675
