model,return
Aggressive,19.92186855
Aggressive,22.87114133
Aggressive,17.44402076
Aggressive,22.42632009
Aggressive,-7.992672357
Aggressive,-11.99520523
Aggressive,-8.286317084
Aggressive,-26.08749535
Aggressive,-45.76641036
Aggressive,-8.637035642
Aggressive,39.52090461
Aggressive,75.48149624
Aggressive,119.1534499
Aggressive,76.58515479
Aggressive,52.24015491
Aggressive,65.73799115
Aggressive,78.3422699
Aggressive,89.10473171
Aggressive,116.9723509
Aggressive,125.6356008
Aggressive,86.00043024
Aggressive,50.70859379
Aggressive,33.62314504
Aggressive,62.34496214
Aggressive,99.18419255
Aggressive,108.3209588
Aggressive,133.8232363
Aggressive,119.7469178
Aggressive,94.85606258
Aggressive,78.35966493
Aggressive,106.1331819
Aggressive,98.90784573
Aggressive,97.23253794
Aggressive,87.99786577
Aggressive,80.84296853
Aggressive,69.26017413
Aggressive,41.49248744
Aggressive,58.36910903
Aggressive,58.5827326
Aggressive,80.07138955
Aggressive,54.34187177
Aggressive,53.83453498
Aggressive,53.759754
Aggressive,55.49650388
Aggressive,54.20310231
Aggressive,60.35685152
Aggressive,70.57652075
Aggressive,70.71916253
Aggressive,69.62683215
Aggressive,61.40194652
Aggressive,77.63681686
Aggressive,81.53674534
Aggressive,81.32368522
Aggressive,84.97772628
Aggressive,78.61127565
Aggressive,74.03967481
Aggressive,52.36740108
Aggressive,45.58111633
Aggressive,61.65199164
Aggressive,60.53962665
Aggressive,28.40591711
Aggressive,33.79577431
Aggressive,13.24429623
Aggressive,17.06629585
Aggressive,3.851445598
Aggressive,0.283946078
Aggressive,-1.055862124
Aggressive,-10.6076761
Aggressive,-5.921078385
Aggressive,-36.28953875
Aggressive,-15.15000879
Aggressive,-19.00233466
Aggressive,-7.767625682
Aggressive,-14.82026448
Aggressive,1.823478753
Aggressive,-2.343631024
Aggressive,10.75101335
Aggressive,1.712853609
Aggressive,-25.52277961
Aggressive,-11.03871993
Aggressive,0.547196606
Aggressive,3.569735716
Aggressive,11.50614608
Aggressive,7.352099379
Aggressive,-3.766986625
Aggressive,-4.887419038
Aggressive,-22.50232277
Aggressive,-7.044123518
Aggressive,-5.851549791
Aggressive,-16.53731295
Aggressive,-30.71241119
Aggressive,-56.80743563
Aggressive,-61.62716232
Aggressive,-59.89288209
Aggressive,-48.12413431
Aggressive,-38.40675605
Aggressive,-28.33457386
Aggressive,-34.13457094
Aggressive,-33.72383828
Aggressive,-24.49986595
Aggressive,-4.147511452
Aggressive,22.97113701
Aggressive,23.77551544
Aggressive,22.27812664
Aggressive,32.39972185
Aggressive,31.21239568
Aggressive,43.21367233
Aggressive,43.10297586
Aggressive,67.79969532
Aggressive,67.38794759
Aggressive,51.08572114
Aggressive,39.3046286
Aggressive,42.7194391
Aggressive,46.44893139
Aggressive,41.3157839
Aggressive,31.3027129
Aggressive,32.40552396
Aggressive,36.39465355
Aggressive,34.34027574
Aggressive,34.67559427
Aggressive,58.11482332
Aggressive,90.29693163
Aggressive,76.02273435
Aggressive,69.85546906
Aggressive,42.25701842
Aggressive,28.17070122
Aggressive,29.71853432
Aggressive,17.41950418
Aggressive,21.00656714
Aggressive,14.04361125
Aggressive,-15.62064073
Aggressive,-31.79805764
Aggressive,-17.59954551
Aggressive,0.336230721
Aggressive,-1.612458995
Aggressive,6.761809657
Aggressive,5.880356874
Aggressive,3.120050141
Aggressive,-28.98546478
Aggressive,-15.80981018
Aggressive,-22.03184283
Aggressive,-30.64515112
Aggressive,-28.96524073
Aggressive,-45.76481166
Aggressive,-27.08077613
Aggressive,-22.43868622
Aggressive,-27.73821035
Aggressive,-7.767088768
Aggressive,-1.146124208
Aggressive,7.275857822
Aggressive,21.7905863
Aggressive,31.08919161
Aggressive,23.57730151
Aggressive,22.82420033
Aggressive,26.63980337
Aggressive,39.41990077
Aggressive,30.9520431
Aggressive,18.55577718
Aggressive,27.59410005
Aggressive,46.3207446
Aggressive,57.25675681
Aggressive,77.02806246
Aggressive,57.001523
Aggressive,56.02667507
Aggressive,51.01875314
Aggressive,41.16543557
Aggressive,38.97692395
Aggressive,30.06338553
Aggressive,21.34023874
Aggressive,1.300491273
Aggressive,-9.600964182
Aggressive,-35.03309858
Aggressive,-10.78702659
Aggressive,-5.457085738
Aggressive,5.532468383
Aggressive,10.13236583
Aggressive,3.224478653
Aggressive,11.96175465
Aggressive,24.93263469
Aggressive,15.54688137
Aggressive,3.320753626
Aggressive,-10.2982462
Aggressive,-8.137426572
Aggressive,-0.060969618
Aggressive,-10.76087212
Aggressive,-20.49878924
Aggressive,5.976617574
Aggressive,16.01045869
Aggressive,2.845433668
Aggressive,-2.760665464
Aggressive,0.195631436
Aggressive,18.13441941
Aggressive,4.517218443
Aggressive,-21.48802628
Aggressive,-38.17405182
Aggressive,-35.40231937
Aggressive,-31.96783855
Aggressive,-14.61528812
Aggressive,-24.06725927
Aggressive,-26.7888838
Aggressive,-26.6994882
Aggressive,-50.99934517
Aggressive,-42.84400568
Aggressive,-32.64663916
Aggressive,8.517048397
Aggressive,30.85814344
Aggressive,-0.68101092
Aggressive,-30.94938548
Aggressive,-16.15006294
Aggressive,3.940799404
Aggressive,23.03831389
Aggressive,42.54806636
Aggressive,54.94827405
Aggressive,78.88295246
Aggressive,64.52978395
Aggressive,65.56014446
Aggressive,72.6836908
Aggressive,79.23243416
Aggressive,61.36132331
Aggressive,46.83179925
Aggressive,61.14484762
Aggressive,60.48142769
Aggressive,33.26072738
Aggressive,15.45239444
Aggressive,1.550635892
Aggressive,-16.12253601
Aggressive,2.40452028
Aggressive,16.75367347
Aggressive,23.50223425
Aggressive,-5.144298116
Aggressive,1.923152297
Aggressive,-0.970692379
Aggressive,20.75105782
Aggressive,34.66480441
Aggressive,29.93982796
Aggressive,52.28866109
Aggressive,64.14495361
Aggressive,42.2850601
Aggressive,48.10213139
Aggressive,78.1438103
Aggressive,49.43283973
Aggressive,58.44858675
Aggressive,-1.969212458
Aggressive,-33.24423202
Aggressive,-13.17633123
Aggressive,-31.05344355
Aggressive,-51.43623787
Aggressive,-26.13796277
Aggressive,-36.51213855
Aggressive,-40.49521475
Aggressive,-41.95692896
Aggressive,-38.40946152
Aggressive,15.91606492
Aggressive,24.31798901
Aggressive,36.33179172
Aggressive,11.82496464
Aggressive,28.46657424
Aggressive,32.0746692
Aggressive,59.59667818
Aggressive,107.0872791
Aggressive,111.0367746
Aggressive,115.369237
Aggressive,227.4457438
Aggressive,240.4141247
Aggressive,175.0877948
Aggressive,169.269795
Aggressive,71.14669361
Aggressive,37.59666104
Aggressive,37.10419025
