model,return
Aggressive,17.774746
Aggressive,17.134286
Aggressive,16.228716
Aggressive,16.508822
Aggressive,16.502168
Aggressive,15.245742
Aggressive,15.3174735
Aggressive,14.9471165
Aggressive,12.664211
Aggressive,13.366508
Aggressive,13.6244005
Aggressive,15.283636
Aggressive,14.790115
Aggressive,15.5610385
Aggressive,13.872498
Aggressive,13.143927
Aggressive,11.3738265
Aggressive,10.238123
Aggressive,8.940542
Aggressive,7.829417
Aggressive,8.029247
Aggressive,7.104412
Aggressive,6.9440975
Aggressive,7.03826
Aggressive,7.4921635
Aggressive,6.1765195
Aggressive,4.1973735
Aggressive,4.555273
Aggressive,4.8116715
Aggressive,6.0413535
Aggressive,6.159369
Aggressive,5.82128
Aggressive,6.7946905
Aggressive,7.540602
Aggressive,6.2317755
Aggressive,7.027221
Aggressive,6.438324
Aggressive,6.1790295
Aggressive,5.175378
Aggressive,4.6477445
Aggressive,5.155957
Aggressive,4.779023
Aggressive,6.1789145
Aggressive,6.415338
Aggressive,6.764359
Aggressive,6.435888
Aggressive,4.8066715
Aggressive,4.818847
Aggressive,5.571818
Aggressive,3.38282
Aggressive,2.857506
Aggressive,4.137355
Aggressive,4.1598985
Aggressive,2.5256725
Aggressive,2.587439
Aggressive,2.2428555
Aggressive,1.8312325
Aggressive,1.514666
Aggressive,4.8356205
Aggressive,4.818311
Aggressive,3.457668
Aggressive,4.134941
Aggressive,2.3538745
Aggressive,2.5441265
Aggressive,1.5846245
Aggressive,2.2172735
Aggressive,2.541172
Aggressive,2.0843605
Aggressive,2.6657965
Aggressive,2.668438
Aggressive,3.1402585
Aggressive,2.7111555
Aggressive,1.547568
Aggressive,1.24859
Aggressive,-2.5308305
Aggressive,-3.057908
Aggressive,-1.283239
Aggressive,-1.2243365
Aggressive,-1.9835015
Aggressive,-2.8704335
Aggressive,-3.736939
Aggressive,-2.658972
Aggressive,-2.8971
Aggressive,-3.322898
Aggressive,-3.80089
Aggressive,-2.854365
Aggressive,-1.600548
Aggressive,-3.2794555
Aggressive,-3.4356505
Aggressive,-3.336311
Aggressive,-2.370976
Aggressive,-2.9567635
Aggressive,-2.5985485
Aggressive,-3.1190125
Aggressive,-4.0412985
Aggressive,-7.412992
Aggressive,-7.5935155
Aggressive,-9.262598
Aggressive,-8.3598405
Aggressive,-9.6109255
Aggressive,-9.608224
Aggressive,-8.8551575
Aggressive,-8.1642415
Aggressive,-8.7702855
Aggressive,-8.558709
Aggressive,-8.640007
Aggressive,-8.778333
Aggressive,-9.121302
Aggressive,-9.974114
Aggressive,-8.7235375
Aggressive,-9.884562
Aggressive,-10.502549
Aggressive,-10.7159815
Aggressive,-11.393405
Aggressive,-10.6225535
Aggressive,-9.095285
Aggressive,-8.5454685
Aggressive,-10.5466655
Aggressive,-10.7809975
Aggressive,-10.863378
Aggressive,-11.041495
Aggressive,-10.704239
Aggressive,-11.306177
Aggressive,-13.60451
Aggressive,-13.0679315
Aggressive,-13.252049
Aggressive,-14.876518
Aggressive,-14.349495
Aggressive,-14.1343395
Aggressive,-14.6235155
Aggressive,-17.2715065
Aggressive,-16.568719
Aggressive,-16.1823045
Aggressive,-14.3682155
Aggressive,-14.388014
Aggressive,-13.951386
Aggressive,-15.5623825
Aggressive,-15.1888295
Aggressive,-15.9480875
Aggressive,-16.433236
Aggressive,-16.9498325
Aggressive,-16.6730985
Aggressive,-15.5314545
Aggressive,-14.380289
Aggressive,-14.6918685
Aggressive,-14.999021
Aggressive,-15.546165
Aggressive,-14.3719705
Aggressive,-14.187381
Aggressive,-15.21743
Aggressive,-15.832636
Aggressive,-16.4363545
Aggressive,-16.7625915
Aggressive,-16.5432085
Aggressive,-16.395783
Aggressive,-17.629014
Aggressive,-16.724063
Aggressive,-16.9614505
Aggressive,-17.620954
Aggressive,-16.9168015
Aggressive,-15.4695105
Aggressive,-13.7135765
Aggressive,-12.5700925
Aggressive,-12.727657
Aggressive,-11.7549455
Aggressive,-11.24924
Aggressive,-10.822907
Aggressive,-11.5033115
Aggressive,-9.9136665
Aggressive,-9.328957
Aggressive,-9.971396
Aggressive,-9.9787245
Aggressive,-9.8229685
Aggressive,-9.187773
Aggressive,-9.28443
Aggressive,-9.9176305
Aggressive,-11.285885
Aggressive,-12.6366065
Aggressive,-12.142665
Aggressive,-11.9763295
Aggressive,-11.9388035
Aggressive,-11.996042
Aggressive,-11.9086445
Aggressive,-12.0587095
Aggressive,-12.479136
Aggressive,-11.975723
Aggressive,-12.5342505
Aggressive,-11.4362615
Aggressive,-12.4553955
Aggressive,-12.3781065
Aggressive,-11.872877
Aggressive,-13.135085
Aggressive,-13.0375405
Aggressive,-11.6964355
Aggressive,-11.73085
Aggressive,-12.304357
Aggressive,-12.2202045
Aggressive,-13.0102805
Aggressive,-13.145777
Aggressive,-13.6370775
Aggressive,-13.7799225
Aggressive,-14.5033905
Aggressive,-13.853845
Aggressive,-14.6232645
Aggressive,-15.201451
Aggressive,-15.5606225
Aggressive,-15.0811565
Aggressive,-15.968899
Aggressive,-13.33472
Aggressive,-12.437568
Aggressive,-12.1062975
Aggressive,-14.1032525
Aggressive,-13.745743
Aggressive,-14.713473
Aggressive,-13.845479
Aggressive,-13.433234
Aggressive,-12.9850365
Aggressive,-12.9294895
Aggressive,-12.619942
Aggressive,-11.869453
Aggressive,-13.5950935
Aggressive,-11.7440395
Aggressive,-11.6417535
Aggressive,-14.2364915
Aggressive,-14.193848
Aggressive,-14.5557305
Aggressive,-12.6613585
Aggressive,-10.7999735
Aggressive,-11.48637
Aggressive,-13.193433
Aggressive,-13.332048
Aggressive,-12.1997465
Aggressive,-12.443693
Aggressive,-12.885608
Aggressive,-12.311733
Aggressive,-14.096987
Aggressive,-13.8824155
Aggressive,-13.5383165
Aggressive,-12.9678935
Aggressive,-11.345742
Aggressive,-10.5687955
Aggressive,-11.4156435
Aggressive,-12.4995765
Aggressive,-11.949118
Aggressive,-11.1857205
Aggressive,-10.635624
Aggressive,-10.4464495
Aggressive,-10.68016
Aggressive,-12.5538465
Aggressive,-13.13375
Aggressive,-12.0231415
Aggressive,-11.141254
Aggressive,-10.9643255
Aggressive,-10.3481995
Aggressive,-8.689162
Aggressive,-7.5050525
Aggressive,-6.618674
Aggressive,-5.328874
Aggressive,-4.944716
Aggressive,-5.6648395
Aggressive,-5.8076925
Aggressive,-4.187136
Aggressive,-3.9952425
Aggressive,-3.904723
Aggressive,-4.7149655
Aggressive,-5.767729
Aggressive,-4.378798
Aggressive,-3.212857
Aggressive,-3.3810265
Aggressive,-2.584998
Aggressive,-3.104409
Aggressive,-3.4554915
Aggressive,-3.6262875
Aggressive,-3.7775385
Aggressive,-3.8817395
Aggressive,-3.5230795
