model,return
barbell,1.365030483
barbell,0.720891627
barbell,-0.388480855
barbell,1.947897067
barbell,1.572797217
barbell,2.06734616
barbell,1.75054275
barbell,1.469492786
barbell,2.663096871
barbell,-0.311641152
barbell,1.953391514
barbell,1.906881687
barbell,1.349197255
barbell,2.136037137
barbell,0.5697971
barbell,0.527577476
barbell,0.791814929
barbell,2.487246929
barbell,1.711665381
barbell,1.29330337
barbell,1.974899606
barbell,3.032527961
barbell,0.206774095
barbell,1.81698689
barbell,1.229124776
barbell,1.121097834
barbell,0.944516916
barbell,2.056582964
barbell,1.662459867
barbell,0.941934566
barbell,0.874621899
barbell,1.724487473
barbell,2.70510442
barbell,3.514714225
barbell,1.667247006
barbell,2.241740671
barbell,1.251913973
barbell,2.498196943
barbell,2.295014753
barbell,2.265755749
barbell,0.43188364
barbell,2.62605453
barbell,2.514833571
barbell,1.705247998
barbell,1.287448614
barbell,2.006369401
barbell,2.901158548
barbell,1.466245735
barbell,0.482695153
barbell,1.277684499
barbell,2.195552409
barbell,1.695078622
barbell,1.946855222
barbell,0.902389412
barbell,4.211154007
barbell,-0.001401704
barbell,2.457668534
barbell,1.357199973
barbell,1.797788769
barbell,2.903006917
barbell,2.562318083
barbell,2.424252123
barbell,2.587271901
barbell,3.223514282
barbell,2.300735098
barbell,2.300766588
barbell,2.078582919
barbell,0.325783447
barbell,2.818783364
barbell,3.313118894
barbell,2.328540692
barbell,1.494162925
barbell,0.948124765
barbell,1.063045407
barbell,3.420010384
barbell,1.769906153
barbell,2.053283416
barbell,1.554695253
barbell,2.401385665
barbell,2.425596516
barbell,0.65384716
barbell,3.35058998
barbell,-1.175337508
barbell,2.168630009
barbell,0.986269772
barbell,0.975148928
barbell,2.133973508
barbell,1.308866607
barbell,2.252003568
barbell,1.613108538
barbell,1.190448587
barbell,1.574356509
barbell,1.191033482
barbell,1.889766266
barbell,1.655830889
barbell,1.405869245
barbell,1.193920538
barbell,1.488864651
barbell,1.925902796
barbell,0.422271172
barbell,2.22754052
barbell,0.898681533
barbell,1.938669899
barbell,1.818904689
barbell,3.062113198
barbell,-0.263656711
barbell,2.325678086
barbell,-0.131491636
barbell,3.343850128
barbell,0.814280523
barbell,0.963784204
barbell,1.400401481
barbell,1.121939846
barbell,1.296654472
barbell,1.173099055
barbell,1.67974827
barbell,1.403450572
barbell,1.310218588
barbell,0.134876652
barbell,2.061095364
barbell,2.525420735
barbell,1.081595436
barbell,0.917039118
barbell,2.576241982
barbell,1.65316814
barbell,1.229435776
barbell,1.669623484
barbell,2.07655753
barbell,1.455454778
barbell,2.397424085
barbell,0.768260278
barbell,1.663882045
barbell,0.54039092
barbell,1.837520413
barbell,1.097679005
barbell,1.760449724
barbell,1.273418986
barbell,0.574191931
barbell,0.002585576
barbell,0.366274494
barbell,1.738099836
barbell,1.979191345
barbell,1.355829099
barbell,2.60755774
barbell,2.228366855
barbell,-0.972461825
barbell,2.234326504
barbell,2.33095531
barbell,1.722529313
barbell,2.499940639
barbell,1.179264572
barbell,2.429262072
barbell,2.075800626
barbell,2.464235182
barbell,1.501576692
barbell,2.247068475
barbell,0.622083831
barbell,1.709746687
barbell,1.823958972
barbell,1.518955784
barbell,0.487506593
barbell,3.605422043
barbell,1.873612368
barbell,2.090184515
barbell,1.735747723
barbell,1.138913598
barbell,1.346216706
barbell,1.056273096
barbell,2.863771662
barbell,1.555326322
barbell,1.310833393
barbell,4.051460738
barbell,2.438179387
barbell,2.829836069
barbell,3.282075913
barbell,1.209394218
barbell,1.696630263
barbell,0.997966928
barbell,1.548776182
barbell,1.346869384
barbell,0.335401279
barbell,1.537768627
barbell,1.209343208
barbell,0.71199423
barbell,1.781382331
barbell,1.572458323
barbell,2.15808006
barbell,0.179611369
barbell,2.325388929
barbell,0.851840121
barbell,2.264789818
barbell,2.035802411
barbell,2.030313853
barbell,1.681567294
barbell,2.217095229
barbell,2.804064716
barbell,1.277821695
barbell,1.847375371
barbell,1.258243912
barbell,1.562665479
barbell,0.900244036
barbell,1.501452895
barbell,1.607716265
barbell,2.109207018
barbell,1.348670877
barbell,1.046833129
barbell,1.401103184
barbell,0.828409878
barbell,2.921909981
barbell,2.205439855
barbell,0.501582208
barbell,1.942839222
barbell,1.534711796
barbell,2.771971452
barbell,1.176471689
barbell,1.095960097
barbell,2.398995421
barbell,1.756701422
barbell,1.194193772
barbell,1.624095523
barbell,1.513071788
barbell,1.019230714
barbell,0.861678385
barbell,0.254810032
barbell,1.573266452
barbell,-0.090713001
barbell,2.773712054
barbell,1.66123713
barbell,2.301812541
barbell,1.65865982
barbell,1.031870875
barbell,1.334214674
barbell,2.729070443
barbell,1.949918838
barbell,1.465785405
barbell,1.617637086
barbell,0.832646353
barbell,0.824280091
barbell,2.065745873
barbell,0.828141363
barbell,1.401519172
barbell,1.541553848
barbell,1.434317896
barbell,1.753872267
barbell,2.473898038
barbell,0.550686308
barbell,1.061857149
barbell,1.851611476
barbell,1.579125991
barbell,0.87710145
barbell,2.360830044
barbell,1.10483412
barbell,0.719848648
barbell,2.743948588
barbell,2.538895902
barbell,3.671071362
barbell,1.500342402
barbell,3.465372538
barbell,2.066541274
barbell,2.246348835
barbell,0.735522815
barbell,1.663849794
barbell,1.0091788
barbell,0.823092147
barbell,2.300871973
barbell,2.044757221
barbell,1.611906207
barbell,0.711811092
barbell,1.022583963
barbell,0.537996669
barbell,1.522885628
barbell,1.741800311
