model,return
barbell,-0.218985483
barbell,1.069042876
barbell,1.281640333
barbell,0.806953216
barbell,1.897045959
barbell,2.229273151
barbell,-0.141552581
barbell,0.82840697
barbell,-0.608602172
barbell,2.906329378
barbell,1.606839322
barbell,1.169591853
barbell,0.861721942
barbell,1.187819018
barbell,1.54522462
barbell,1.903087601
barbell,0.3081626
barbell,2.073241988
barbell,1.431156515
barbell,0.67807243
barbell,2.564538616
barbell,1.782345948
barbell,1.007034268
barbell,1.830220052
barbell,-0.389454009
barbell,1.981416396
barbell,0.480983278
barbell,3.38943289
barbell,0.59849064
barbell,2.260248304
barbell,1.975286096
barbell,0.910595913
barbell,2.427565813
barbell,1.502583953
barbell,2.704893877
barbell,2.146022684
barbell,1.524492697
barbell,1.669660324
barbell,2.671097762
barbell,1.51630846
barbell,1.975915051
barbell,1.278392855
barbell,1.85857161
barbell,2.39808238
barbell,1.820949153
barbell,1.109634201
barbell,0.354169839
barbell,0.77493291
barbell,1.381637684
barbell,2.267398519
barbell,2.000722047
barbell,2.188668315
barbell,1.157932905
barbell,1.382945896
barbell,1.800737717
barbell,2.425558346
barbell,1.887567183
barbell,2.825393917
barbell,0.544298929
barbell,1.277251222
barbell,3.255685205
barbell,0.595077258
barbell,2.122234563
barbell,2.097401468
barbell,1.935850287
barbell,1.551426836
barbell,1.262311186
barbell,2.486251731
barbell,1.90928413
barbell,2.023530382
barbell,1.170734286
barbell,2.335715748
barbell,1.410463704
barbell,1.050734385
barbell,2.235856609
barbell,2.701633555
barbell,2.492116317
barbell,0.829300563
barbell,1.481780707
barbell,1.880896184
barbell,1.755948144
barbell,1.554562487
barbell,2.34985939
barbell,0.149635134
barbell,0.407473733
barbell,1.676411464
barbell,2.226382126
barbell,2.443621885
barbell,1.212426384
barbell,2.214344402
barbell,1.716054874
barbell,2.564790935
barbell,1.462065286
barbell,1.309042453
barbell,1.183362277
barbell,1.45348741
barbell,3.037239847
barbell,0.317777007
barbell,1.797971165
barbell,2.31387509
barbell,1.169697302
barbell,1.907207742
barbell,0.815809172
barbell,2.004918104
barbell,3.215632271
barbell,2.177061799
barbell,1.657128384
barbell,2.130050911
barbell,1.477581888
barbell,0.909545177
barbell,2.252102845
barbell,3.083433692
barbell,0.758946522
barbell,2.436505151
barbell,0.816548382
barbell,3.256473442
barbell,1.800926561
barbell,1.682979828
barbell,1.928904587
barbell,2.156442516
barbell,2.101908674
barbell,0.980137979
barbell,0.587848379
barbell,1.559547006
barbell,1.47450768
barbell,2.065786275
barbell,0.179203876
barbell,1.688998426
barbell,1.519490342
barbell,2.051215756
barbell,1.986269546
barbell,0.7581799
barbell,-0.543272285
barbell,1.163217586
barbell,1.132821902
barbell,1.32600367
barbell,2.254877424
barbell,2.336059571
barbell,1.372705975
barbell,2.731173794
barbell,1.660324206
barbell,1.455840345
barbell,2.261611003
barbell,1.661239331
barbell,1.928589281
barbell,1.228448014
barbell,1.84474308
barbell,1.710739905
barbell,1.469498571
barbell,0.785974034
barbell,1.724226276
barbell,2.921578837
barbell,3.130042207
barbell,2.359477654
barbell,-0.195240809
barbell,0.499833064
barbell,2.415640609
barbell,1.037056482
barbell,3.42483745
barbell,1.343581074
barbell,2.709988782
barbell,2.434735636
barbell,1.429045061
barbell,2.722052969
barbell,2.547721447
barbell,1.799540298
barbell,1.011073151
barbell,0.903579923
barbell,2.754610306
barbell,2.764239385
barbell,2.08875605
barbell,1.96560847
barbell,2.709363963
barbell,2.866871904
barbell,0.279399387
barbell,3.402110337
barbell,1.206831365
barbell,1.954787977
barbell,2.349351948
barbell,0.114630344
barbell,2.243277987
barbell,1.487426144
barbell,1.029724215
barbell,-0.152116195
barbell,2.257096697
barbell,2.637546879
barbell,0.822277057
barbell,0.03705328
barbell,1.518656418
barbell,1.78417338
barbell,1.850588804
barbell,0.686024563
barbell,1.268107963
barbell,1.405212015
barbell,1.189374673
barbell,1.70484672
barbell,0.326595158
barbell,2.20435459
barbell,1.304702277
barbell,0.866250767
barbell,1.919301935
barbell,2.45868139
barbell,1.963389279
barbell,1.530335714
barbell,1.697601163
barbell,2.051338624
barbell,3.172831858
barbell,0.40892239
barbell,2.291908805
barbell,2.107002147
barbell,0.804668756
barbell,2.513425146
barbell,1.645463831
barbell,2.536563878
barbell,0.154490676
barbell,1.531521649
barbell,0.80673214
barbell,2.11299264
barbell,0.665102969
barbell,1.188671266
barbell,0.002420768
barbell,1.575713693
barbell,1.842466932
barbell,1.287844466
barbell,1.918585506
barbell,1.710192751
barbell,1.32557747
barbell,0.242374346
barbell,0.293450293
barbell,1.835031899
barbell,1.655819553
barbell,1.541897053
barbell,1.571407707
barbell,2.257866015
barbell,1.149545591
barbell,1.190898769
barbell,1.965757959
barbell,1.895259828
barbell,2.628168711
barbell,2.140944569
barbell,1.129595064
barbell,0.524783014
barbell,1.105111633
barbell,2.645344649
barbell,2.932625348
barbell,1.258645977
barbell,1.08350623
barbell,2.523089776
barbell,1.197876229
barbell,1.500549868
barbell,1.882491607
barbell,3.223635566
barbell,2.210186711
barbell,0.94712499
barbell,1.0149409
barbell,2.0990228
barbell,1.872497273
barbell,1.818607848
barbell,1.030710226
barbell,1.903931491
barbell,2.403405519
barbell,1.906832672
barbell,1.425280304
barbell,1.432798549
barbell,-0.051457748
barbell,1.116845808
barbell,2.107655899
barbell,1.40417937
barbell,2.018431823
barbell,2.519660988
barbell,1.825126963
barbell,1.978056766
barbell,1.654415499
barbell,1.219305451
barbell,2.134547858
barbell,1.978982235
barbell,1.918280777
barbell,1.068970617
barbell,1.734110549
barbell,1.961627875
barbell,2.460259701
barbell,1.614798579
barbell,-0.028264528
barbell,1.614724164
barbell,2.285156452
barbell,2.073127817
barbell,2.196105139
barbell,2.12783764
barbell,1.164158193
barbell,0.788821652
barbell,1.650206237
barbell,1.67290337
barbell,1.369247561
barbell,1.662525725
barbell,1.489728478
barbell,1.48776901
barbell,1.47274997
barbell,1.550634575
barbell,2.316725014
barbell,1.740973715
barbell,1.73529064
barbell,3.309094219
barbell,2.656980414
barbell,1.363046951
barbell,1.503831143
barbell,0.197140041
barbell,0.252169712
barbell,0.171775388
barbell,2.008020026
barbell,2.20691519
barbell,1.575597011
barbell,1.152390942
barbell,0.705308487
barbell,1.030241371
barbell,1.702259801
barbell,1.850210167
barbell,0.828993359
barbell,1.823034896
barbell,1.389456393
barbell,2.725059454
barbell,0.969901452
barbell,0.991056601
barbell,0.750591421
barbell,1.728810872
barbell,1.91179925
barbell,2.555858524
barbell,1.597428255
barbell,0.871110438
barbell,0.734103744
barbell,0.504511594
barbell,2.310475625
barbell,-0.048597813
barbell,1.777005075
barbell,2.200095614
barbell,2.218630605
barbell,1.900103994
barbell,0.721547841
barbell,2.094502153
barbell,1.609623923
barbell,2.542030221
barbell,2.362955603
barbell,3.151207848
barbell,1.467257079
barbell,1.876633249
barbell,1.571736003
barbell,1.658812306
barbell,2.607365324
barbell,2.154410446
barbell,0.70030314
barbell,1.367005409
barbell,1.582284652
barbell,2.326660336
barbell,1.318862965
barbell,0.946560616
barbell,1.585646324
barbell,1.054323092
barbell,1.965694823
barbell,1.232592672
barbell,1.449885077
barbell,1.404111036
barbell,0.898397914
barbell,2.540478791
barbell,1.243084447
barbell,2.032001095
barbell,2.327753629
barbell,2.32291267
barbell,1.702689805
barbell,0.70306154
barbell,3.70812069
barbell,1.221392407
barbell,0.032362966
barbell,2.159703046
barbell,2.340038454
barbell,0.650169997
barbell,0.19089968
barbell,1.014856354
barbell,2.035116902
barbell,0.140065966
barbell,1.633676606
barbell,0.266758365
barbell,1.452851452
barbell,0.956284307
barbell,1.328050433
barbell,1.694401685
barbell,0.862988521
barbell,1.870087316
barbell,2.345283887
barbell,1.689985369
barbell,1.430837865
barbell,3.079869652
barbell,1.463612456
barbell,2.277630777
barbell,3.679722696
barbell,2.1969568
barbell,1.839976609
barbell,1.477597451
barbell,1.86011645
barbell,1.531371513
barbell,2.12452228
barbell,0.095030844
barbell,2.799044495
barbell,1.160199167
barbell,0.88582579
barbell,2.832424115
barbell,0.893301526
barbell,1.002222098
barbell,1.287993654
barbell,1.905694404
barbell,1.54653529
barbell,1.766243024
barbell,2.65645533
barbell,1.609502633
barbell,1.739041487
barbell,1.138511475
barbell,1.451989882
barbell,1.283587806
barbell,2.143888558
barbell,0.084450546
barbell,0.924378592
barbell,1.531862337
barbell,1.186981263
barbell,2.161383546
barbell,0.820613358
barbell,0.790931845
barbell,0.495757238
barbell,-0.225003129
barbell,1.70786695
barbell,1.83600068
barbell,2.098957277
barbell,1.236700114
barbell,1.217997002
barbell,2.337621258
barbell,2.415492677
barbell,1.629624209
barbell,3.114585538
barbell,2.110042045
barbell,1.059225441
barbell,0.617591615
barbell,1.203877224
barbell,0.909177688
barbell,1.589390081
barbell,2.058299756
barbell,3.148057766
barbell,2.217047551
barbell,2.064432982
barbell,0.498541892
barbell,3.054870771
barbell,1.312211218
barbell,3.137619033
barbell,2.054462579
barbell,2.084763388
barbell,0.595946682
barbell,2.753953468
barbell,2.514614228
barbell,1.586022102
barbell,2.404248616
barbell,1.812045869
barbell,1.73924118
barbell,1.458526811
barbell,1.936891864
barbell,0.545705262
barbell,1.930318783
barbell,1.100514165
barbell,2.642610807
barbell,1.772685906
barbell,1.464081761
barbell,0.221175832
barbell,1.010829521
barbell,1.802660727
barbell,1.895563394
barbell,1.355361337
barbell,2.187840333
barbell,0.282492448
barbell,2.063067583
barbell,0.5105343
barbell,2.175746752
barbell,1.644092017
barbell,1.766132089
barbell,1.792107879
barbell,1.2314971
barbell,2.522587307
barbell,0.673006937
barbell,1.17243136
barbell,1.62321974
barbell,1.962476809
barbell,2.755305578
barbell,0.686227603
barbell,2.341459321
barbell,1.182899346
barbell,1.032973472
barbell,0.98112046
barbell,0.110340388
barbell,1.024767402
barbell,2.203746186
barbell,1.41088213
barbell,1.334566023
barbell,1.579751493
barbell,1.781123993
barbell,1.326363533
barbell,0.151067554
barbell,2.608483915
barbell,1.432407672
barbell,2.61083899
barbell,1.913880676
barbell,1.594424184
barbell,1.198768969
barbell,1.43974491
barbell,1.191693869
barbell,2.965880422
barbell,3.329424274
barbell,0.690336171
barbell,1.350700831
barbell,1.675620895
barbell,2.065591106
barbell,1.715048218
barbell,0.178093984
barbell,0.433066928
barbell,1.769682806
barbell,2.572684994
barbell,2.878339423
barbell,1.17158372
barbell,0.632128187
barbell,0.89221474
barbell,1.443690811
barbell,1.498915753
barbell,-0.134626403
barbell,1.63011538
barbell,1.206643577
barbell,1.298151848
barbell,2.097959027
barbell,2.243325805
barbell,2.539394495
barbell,2.129013627
barbell,1.503415673
barbell,0.651604902
barbell,1.757498227
barbell,1.179029615
barbell,1.840225112
barbell,1.789311112
barbell,2.15229085
barbell,1.318785586
barbell,1.543423888
barbell,0.423550915
very-defensive,0.451544053
very-defensive,1.252692453
very-defensive,1.708125711
very-defensive,2.340802912
very-defensive,2.418302836
very-defensive,1.861098215
very-defensive,0.269013326
very-defensive,1.459522057
very-defensive,1.114038831
very-defensive,1.232799265
very-defensive,2.370922733
very-defensive,3.262720769
very-defensive,2.540440092
very-defensive,0.568897849
very-defensive,2.545293181
very-defensive,0.759367525
very-defensive,2.223311247
very-defensive,0.40233194
very-defensive,0.824807054
very-defensive,1.404988677
very-defensive,2.093175098
very-defensive,2.554342998
very-defensive,2.294708212
very-defensive,3.413998028
very-defensive,2.123118461
very-defensive,3.254935642
very-defensive,1.257983576
very-defensive,1.860124834
very-defensive,1.997038682
very-defensive,1.598071518
very-defensive,2.710784013
very-defensive,1.289385828
very-defensive,2.033118051
very-defensive,2.307915065
very-defensive,2.027489638
very-defensive,3.555537166
very-defensive,1.29083599
very-defensive,1.574096508
very-defensive,2.977728026
very-defensive,1.912286879
very-defensive,2.417982353
very-defensive,1.717243066
very-defensive,2.21872886
very-defensive,2.832013531
very-defensive,2.907622032
very-defensive,1.01472343
very-defensive,0.971703761
very-defensive,1.938883229
very-defensive,1.4703869
very-defensive,0.957177124
very-defensive,2.955629101
very-defensive,1.134239356
very-defensive,1.400446448
very-defensive,2.989143979
very-defensive,2.402635465
very-defensive,1.108801216
very-defensive,2.254168958
very-defensive,1.866748301
very-defensive,2.189599684
very-defensive,0.558937413
