model,return
barbell,1.129636392
barbell,0.902462775
barbell,0.375925186
barbell,1.778652195
barbell,1.582597012
barbell,2.800834875
barbell,2.382096684
barbell,0.610112383
barbell,2.879809151
barbell,1.944061502
barbell,3.19027761
barbell,1.403879447
barbell,2.407514692
barbell,0.866059056
barbell,1.359916741
barbell,2.985690697
barbell,1.085814309
barbell,1.327652031
barbell,1.679428519
barbell,1.547690814
barbell,2.425486146
barbell,0.610241063
barbell,3.622889046
barbell,1.987016987
barbell,2.193285965
barbell,0.727819688
barbell,2.091877498
barbell,1.382719949
barbell,1.49239669
barbell,2.400703489
barbell,1.742116531
barbell,2.278807699
barbell,2.02064059
barbell,1.249747018
barbell,1.804413747
barbell,-0.10630293
barbell,2.869351717
barbell,2.924891282
barbell,1.458751939
barbell,3.138851917
barbell,1.205675461
barbell,2.45373928
barbell,0.239965963
barbell,1.128798262
barbell,0.875736222
barbell,2.196849783
barbell,1.938396174
barbell,1.403938631
barbell,1.278232945
barbell,1.620634181
barbell,2.378976712
barbell,2.903685109
barbell,1.788103518
barbell,0.771032423
barbell,1.348780246
barbell,1.253616824
barbell,2.63130704
barbell,0.061884765
barbell,0.90428499
barbell,2.156950296
barbell,2.788968578
barbell,2.565595772
barbell,1.155421231
barbell,2.310939738
barbell,2.508986647
barbell,2.767954874
barbell,1.707594259
barbell,0.95352196
barbell,1.115878619
barbell,0.242078281
barbell,1.000567864
barbell,0.728673797
barbell,1.241068927
barbell,2.249420731
barbell,3.496328823
barbell,2.751484113
barbell,2.585069654
barbell,1.398965444
barbell,2.534677753
barbell,1.238096259
barbell,0.598298743
barbell,1.948231645
barbell,1.481355099
barbell,2.023044174
barbell,0.601642537
barbell,2.190826276
barbell,1.185770059
barbell,1.087791535
barbell,1.842773854
barbell,2.283259101
barbell,1.159477653
barbell,0.786340703
barbell,1.205085769
barbell,2.182804282
barbell,0.24206354
barbell,2.008717429
barbell,1.540164424
barbell,2.959604053
barbell,1.856825733
barbell,1.689266174
barbell,0.249345134
barbell,1.81926353
barbell,1.355701329
barbell,0.659768223
barbell,1.207274001
barbell,1.516694
barbell,1.146214305
barbell,1.903597678
barbell,1.974457109
barbell,1.425094531
barbell,2.477933519
barbell,1.780911518
barbell,1.462763552
barbell,2.131609767
barbell,3.392480828
barbell,1.948063562
barbell,0.503864424
barbell,0.795314293
barbell,0.844357214
barbell,2.223782052
barbell,1.49242271
barbell,1.58963093
barbell,2.52250526
barbell,1.785742404
barbell,2.617586018
barbell,1.823037809
barbell,2.318131815
barbell,0.125666795
barbell,2.671835336
barbell,2.304480058
barbell,0.130753502
barbell,0.975320848
barbell,1.781285369
barbell,1.989087495
barbell,-0.119453583
barbell,1.540658988
barbell,0.778425163
barbell,-0.249442196
barbell,1.274062666
barbell,2.565395502
barbell,0.647582801
barbell,3.289026571
barbell,1.545786307
barbell,0.867965481
barbell,1.047426392
barbell,2.292242184
barbell,2.277058757
barbell,2.022502403
barbell,1.493022625
barbell,1.205895322
barbell,2.330814018
barbell,1.615692996
barbell,2.659244005
barbell,1.690438437
barbell,2.055393371
barbell,0.567508246
barbell,1.589727211
barbell,3.106977337
barbell,2.816763324
barbell,2.837251247
barbell,2.701791349
barbell,1.188084014
barbell,1.147391798
barbell,2.590664708
barbell,2.226686368
barbell,2.866646258
barbell,1.54539684
barbell,0.650753384
barbell,0.564249641
barbell,1.625269568
barbell,1.041167937
barbell,1.189357435
barbell,1.912359327
barbell,1.02469664
barbell,0.918506464
barbell,1.820308519
barbell,1.003944348
barbell,3.199291184
barbell,0.681397413
barbell,0.919568534
barbell,1.164863932
barbell,2.23433675
barbell,1.516158742
barbell,1.534885191
barbell,0.853324475
barbell,1.738446247
barbell,0.4211476
barbell,0.493206342
barbell,1.755265475
barbell,2.071104636
barbell,1.939318924
barbell,2.571484839
barbell,1.11688978
barbell,0.252278438
barbell,2.447915541
barbell,0.536047031
barbell,0.211752695
barbell,1.3953733
barbell,2.064807539
barbell,2.610639067
barbell,1.29126759
barbell,2.286767804
barbell,1.742235721
barbell,1.654816111
barbell,1.962433852
barbell,0.728860162
barbell,1.901764193
barbell,1.934358728
barbell,1.571911105
barbell,0.44647963
barbell,1.354940592
barbell,2.062782259
barbell,-0.406685342
barbell,2.636626192
barbell,1.712203262
barbell,1.53390744
barbell,1.235642398
barbell,2.820794065
barbell,0.610641474
barbell,1.697388604
barbell,1.630117386
barbell,1.529707868
barbell,2.084800869
barbell,0.060109828
barbell,2.043766671
barbell,2.059701187
barbell,0.97328372
barbell,0.513965562
barbell,1.045481794
barbell,1.567580543
barbell,1.072155461
barbell,1.506554187
barbell,2.274197289
barbell,1.526744285
barbell,1.299750139
barbell,1.664892159
barbell,1.700603885
barbell,3.075987586
barbell,1.55017683
barbell,1.567880411
barbell,2.031363429
barbell,1.710628021
barbell,2.147707234
barbell,2.254277596
barbell,1.522916452
barbell,1.334106275
barbell,1.653432156
barbell,2.51638148
barbell,1.656593826
barbell,1.947638688
barbell,1.909889123
barbell,2.047632342
barbell,1.729112544
barbell,1.217532978
barbell,1.716499182
barbell,2.849406522
barbell,1.910662461
barbell,2.190841619
barbell,1.65423704
barbell,2.841199413
barbell,1.308497913
barbell,2.125983338
barbell,2.639651082
barbell,1.726855809
barbell,3.408672833
barbell,0.778439929
barbell,1.867300552
barbell,1.409643592
barbell,2.024179452
barbell,1.401471676
barbell,0.883507217
barbell,1.12127029
barbell,0.205107335
barbell,2.227609117
barbell,0.19369515
barbell,0.176087412
barbell,-0.447928241
barbell,1.322732901
barbell,1.793259819
barbell,0.766411116
barbell,3.2665912
barbell,1.519755538
barbell,3.261090715
barbell,2.385090408
barbell,1.404536419
barbell,1.823415585
barbell,1.317512696
barbell,3.164770761
barbell,1.571802265
barbell,0.005475518
barbell,2.892290205
barbell,3.804840751
barbell,2.13958695
barbell,2.329186087
barbell,1.131714586
barbell,1.080021831
barbell,2.85351185
barbell,2.369574834
barbell,1.320959284
barbell,0.729086269
barbell,2.297376739
barbell,2.790411239
barbell,2.808079839
barbell,0.768334683
barbell,1.815819249
barbell,0.68910263
barbell,2.735842292
barbell,0.604686528
barbell,0.632256741
barbell,1.787744785
barbell,3.390001112
barbell,0.971456732
barbell,2.941455185
barbell,2.200886818
barbell,-0.578663366
barbell,0.370581606
barbell,0.446178369
barbell,0.454632736
barbell,0.088099418
barbell,0.810467232
barbell,1.117866535
barbell,1.526889405
barbell,2.504588799
barbell,1.377203022
barbell,1.900755857
barbell,0.593929813
barbell,2.004218095
barbell,2.052054368
barbell,0.349866787
barbell,0.83542407
barbell,0.996558898
barbell,0.909834124
barbell,0.65377148
barbell,1.432286685
barbell,1.12732583
barbell,1.648794175
barbell,1.807426687
barbell,1.207706179
barbell,1.800647272
barbell,1.558488282
barbell,0.931047156
barbell,0.712842106
barbell,2.929679857
barbell,3.255220268
barbell,0.772017313
barbell,2.807580172
barbell,2.125322004
barbell,0.240452749
barbell,1.523606492
barbell,0.382938841
barbell,1.760234386
barbell,-0.997851358
barbell,-0.757981067
barbell,0.638076822
barbell,1.7830304
barbell,-0.400934208
barbell,2.221171198
barbell,0.95101795
barbell,0.918040867
barbell,1.423582411
barbell,1.141666063
barbell,2.18979043
barbell,0.604869593
barbell,1.323244894
barbell,-0.807522627
barbell,2.005117743
barbell,1.68719411
barbell,0.326519209
barbell,0.175373409
barbell,1.587952779
barbell,1.883557938
barbell,3.087358288
barbell,1.028058371
barbell,1.694366016
barbell,1.045371431
barbell,-0.434102871
barbell,1.487174996
barbell,3.211315555
barbell,1.359787109
barbell,0.596391978
barbell,0.718925493
barbell,2.637743839
barbell,0.481022527
barbell,2.71435794
barbell,0.400886379
barbell,0.665822929
barbell,2.055679024
barbell,0.885377798
barbell,1.543015859
barbell,1.96730002
barbell,3.024383534
barbell,1.396305693
barbell,1.305389901
barbell,0.048063579
barbell,2.785526608
barbell,1.959974709
barbell,1.661573488
barbell,1.729549984
barbell,1.303910428
barbell,1.614848876
barbell,2.021247364
barbell,1.705415804
barbell,1.623953338
barbell,2.35036284
barbell,0.61971515
barbell,-0.261301544
barbell,2.440215004
barbell,0.02245298
barbell,2.049089016
barbell,1.503367747
barbell,1.122301525
barbell,1.820048223
barbell,1.811803653
barbell,1.62059228
barbell,1.617579676
barbell,2.273094936
barbell,1.120650224
barbell,2.100871218
barbell,2.4522878
barbell,2.337058835
barbell,1.627369471
barbell,2.279704189
barbell,1.220478822
barbell,1.586664691
barbell,0.635839703
barbell,2.690482986
barbell,2.641353893
barbell,2.239757665
barbell,2.308501619
barbell,0.613456941
barbell,1.428076403
barbell,1.129139068
barbell,0.824248602
barbell,2.883205508
barbell,1.79706184
barbell,3.940390302
barbell,1.481433617
barbell,1.096077988
barbell,1.859357853
barbell,-0.323586169
barbell,2.647505794
barbell,0.697346219
barbell,0.619380843
barbell,1.089232237
barbell,1.245713841
barbell,1.455841778
barbell,1.154876691
barbell,1.59318206
barbell,2.70996315
barbell,1.536705609
barbell,1.431712759
barbell,2.457815371
barbell,1.117130915
barbell,2.503596357
barbell,2.062935177
barbell,-0.132784664
barbell,2.454575735
barbell,0.659154131
barbell,2.082020389
barbell,0.406555184
barbell,4.225038601
barbell,1.884884312
barbell,2.250790821
barbell,1.547375327
barbell,0.719162612
barbell,1.523459875
barbell,1.753132484
barbell,2.581723269
barbell,1.643079931
barbell,2.116186049
barbell,2.818550118
barbell,1.67235829
barbell,1.67467457
barbell,1.098010421
barbell,1.019630778
barbell,1.988200535
barbell,1.161976667
barbell,0.378475025
barbell,0.555491419
barbell,1.88405257
barbell,0.611728342
barbell,1.672509293
barbell,2.50166734
barbell,2.446934932
barbell,2.262304543
barbell,0.439230832
barbell,0.283385593
barbell,0.566591936
barbell,3.681614941
barbell,1.724468237
barbell,1.98691931
barbell,-0.224844833
barbell,1.588777067
barbell,3.095291738
barbell,1.765690698
barbell,1.686445614
barbell,1.528545735
barbell,1.587725498
barbell,2.147398261
barbell,2.512022246
barbell,0.824418914
barbell,1.744929047
barbell,1.373498312
barbell,3.319323112
barbell,1.031323907
barbell,2.916263929
barbell,2.263459706
barbell,2.862973763
barbell,2.078070285
barbell,0.775720008
barbell,2.322625069
barbell,2.178264012
barbell,2.494146487
barbell,1.023993416
barbell,0.436474974
barbell,1.480041028
barbell,1.649652043
barbell,2.912700276
barbell,1.481851447
barbell,1.350383487
barbell,-0.208789166
barbell,2.197787673
barbell,1.672373151
barbell,0.319959666
barbell,1.766423202
barbell,-0.152559623
barbell,1.271909284
barbell,2.638293003
barbell,1.726771026
barbell,0.066629173
barbell,1.236846818
barbell,1.976905005
barbell,0.925561162
barbell,-0.19965785
barbell,2.692306726
barbell,1.899441314
barbell,0.884762407
barbell,1.810054121
barbell,1.697388781
barbell,2.594126592
barbell,1.775725633
barbell,1.821603383
barbell,0.553659844
very-defensive,2.31815151
very-defensive,2.301805744
very-defensive,1.399110428
very-defensive,3.085834573
very-defensive,1.265206294
very-defensive,-0.055046764
very-defensive,3.292973313
very-defensive,1.722278115
very-defensive,1.911896823
very-defensive,1.091402462
very-defensive,2.591440338
very-defensive,0.439775408
very-defensive,0.453996409
very-defensive,0.783536719
very-defensive,0.158705601
very-defensive,1.762811811
very-defensive,2.287705602
very-defensive,2.389814468
very-defensive,0.334548344
very-defensive,3.286454151
very-defensive,1.646968534
very-defensive,1.642821689
very-defensive,2.058497398
very-defensive,2.390909747
very-defensive,3.189765836
very-defensive,2.894228575
very-defensive,-0.556253519
very-defensive,1.353423968
very-defensive,1.390631968
very-defensive,2.202668052
very-defensive,2.785168836
very-defensive,0.032700489
very-defensive,1.098399646
very-defensive,0.674010696
very-defensive,0.253005907
very-defensive,1.342535545
very-defensive,0.529134337
very-defensive,2.18701367
very-defensive,1.666463353
very-defensive,2.736724476
very-defensive,0.695949634
very-defensive,1.074592301
very-defensive,1.984679607
very-defensive,1.906903623
very-defensive,2.933018405
very-defensive,3.420341986
very-defensive,1.259803429
very-defensive,1.845753031
very-defensive,2.369991227
very-defensive,2.229328014
very-defensive,0.026762988
very-defensive,1.09131798
very-defensive,2.316052856
very-defensive,1.989847366
very-defensive,1.72135398
very-defensive,0.909035574
very-defensive,1.706564729
very-defensive,0.991862884
very-defensive,2.601391317
very-defensive,2.62161677
very-defensive,0.86432641
very-defensive,2.364076163
very-defensive,1.070021063
very-defensive,2.205758869
very-defensive,1.733664757
very-defensive,1.055438659
very-defensive,2.152523803
very-defensive,2.256164426
very-defensive,2.207260939
very-defensive,2.445702796
very-defensive,1.305693719
very-defensive,2.904063854
very-defensive,2.866956447
very-defensive,1.145854365
very-defensive,1.749237534
very-defensive,0.999424059
very-defensive,1.08738615
very-defensive,2.576405663
very-defensive,1.856443183
very-defensive,2.561159946
very-defensive,0.4808631
very-defensive,1.005536604
very-defensive,1.636402995
very-defensive,0.907296467
very-defensive,2.167333429
very-defensive,1.266321884
very-defensive,1.982177294
very-defensive,1.842675368
very-defensive,1.321365752
very-defensive,2.944811887
very-defensive,2.536375273
very-defensive,0.452485916
very-defensive,1.79296355
very-defensive,2.121874022
very-defensive,1.171177314
very-defensive,1.473655871
very-defensive,0.726415094
very-defensive,1.030852399
very-defensive,2.1637832
very-defensive,0.679492185
very-defensive,1.600771517
very-defensive,1.014856745
very-defensive,2.59905259
very-defensive,3.12349046
very-defensive,0.119480048
very-defensive,1.866432286
very-defensive,3.33597311
very-defensive,1.959728536
very-defensive,1.001400415
very-defensive,2.105051795
very-defensive,2.323698391
very-defensive,1.517554324
very-defensive,1.735153276
very-defensive,1.36586838
very-defensive,2.811815065
very-defensive,1.687602736
very-defensive,1.196017377
very-defensive,0.893672341
very-defensive,1.571407667
very-defensive,1.348233652
very-defensive,1.474488444
very-defensive,2.477483301
very-defensive,1.137998254
very-defensive,1.47173719
very-defensive,0.401907714
very-defensive,2.79260032
very-defensive,1.278228507
very-defensive,2.449729769
very-defensive,-0.647159917
very-defensive,0.675586632
very-defensive,3.935485706
very-defensive,1.739796681
very-defensive,1.713926759
very-defensive,2.676968691
very-defensive,1.350056836
very-defensive,0.978239069
very-defensive,1.687255568
very-defensive,0.429530928
very-defensive,2.570176892
very-defensive,1.726298348
very-defensive,1.356252905
very-defensive,1.852204448
very-defensive,1.659734117
very-defensive,1.676649506
very-defensive,2.04806804
very-defensive,-0.516379287
very-defensive,1.887219067
very-defensive,0.055836306
very-defensive,0.279004785
very-defensive,2.553392688
very-defensive,2.646115542
very-defensive,0.434712304
very-defensive,3.585289594
very-defensive,3.768506794
very-defensive,2.785993345
very-defensive,1.755784017
very-defensive,1.462800509
very-defensive,3.330951445
very-defensive,2.054529257
very-defensive,1.271728701
very-defensive,0.471511524
very-defensive,1.005584369
very-defensive,1.235475238
very-defensive,0.767382679
very-defensive,0.440479104
very-defensive,1.821812727
very-defensive,2.272297425
very-defensive,2.465075269
very-defensive,1.456837048
very-defensive,2.712526651
very-defensive,0.698384886
very-defensive,1.497386508
very-defensive,0.917810808
very-defensive,2.330360046
very-defensive,2.478277528
very-defensive,3.272934676
very-defensive,1.561735638
very-defensive,-0.046231597
very-defensive,2.8231761
very-defensive,1.607362731
very-defensive,0.790510867
very-defensive,2.695108381
very-defensive,0.551627933
very-defensive,2.462780974
very-defensive,1.635716105
very-defensive,1.500125945
very-defensive,2.381307209
very-defensive,1.594716798
very-defensive,2.584704796
very-defensive,2.546909901
very-defensive,1.654373907
very-defensive,1.962246695
very-defensive,0.877622953
very-defensive,1.482272591
very-defensive,0.425032322
very-defensive,2.234861066
very-defensive,1.668487539
very-defensive,1.141467547
very-defensive,0.605207898
very-defensive,0.282320635
very-defensive,1.24115815
very-defensive,1.087913915
very-defensive,0.515204913
very-defensive,1.190373756
very-defensive,2.20099349
very-defensive,0.073821622
very-defensive,1.850401947
very-defensive,1.722265637
very-defensive,2.745207576
very-defensive,2.463320221
very-defensive,0.868777062
very-defensive,1.015692302
very-defensive,3.039064618
very-defensive,2.237143588
very-defensive,2.883640807
very-defensive,0.567981825
very-defensive,1.018719932
very-defensive,1.3805381
very-defensive,1.936549652
very-defensive,1.307477512
very-defensive,2.507926734
very-defensive,-1.351388481
very-defensive,1.397840425
very-defensive,0.8795937
very-defensive,1.210308488
very-defensive,0.640786697
very-defensive,1.664250566
very-defensive,1.894602627
very-defensive,1.358187501
very-defensive,2.551938146
very-defensive,0.381704781
very-defensive,2.737264126
very-defensive,1.588336246
very-defensive,2.103005852
very-defensive,1.10263991
very-defensive,1.462596581
very-defensive,0.892420957
very-defensive,2.664512778
very-defensive,2.905091141
very-defensive,2.635447359
very-defensive,1.894939665
very-defensive,1.306429932
very-defensive,2.648007101
very-defensive,3.079193247
very-defensive,1.956758098
very-defensive,2.774165734
very-defensive,2.143518051
very-defensive,0.20216636
very-defensive,0.283824874
very-defensive,1.003637198
very-defensive,3.227885581
very-defensive,1.574027961
very-defensive,2.139173769
very-defensive,2.047444393
very-defensive,1.739646311
very-defensive,3.05434691
very-defensive,1.62207074
very-defensive,0.965472693
very-defensive,1.234858735
very-defensive,3.266302008
very-defensive,0.881027439
very-defensive,1.993035679
very-defensive,1.044446553
very-defensive,0.904941544
very-defensive,1.04464526
very-defensive,1.673292062
very-defensive,2.48902953
very-defensive,2.776171722
very-defensive,2.241660226
very-defensive,3.777203297
very-defensive,0.840774708
very-defensive,0.700754785
very-defensive,1.025667628
very-defensive,3.103561833
very-defensive,1.414231258
very-defensive,2.345570411
very-defensive,1.879195533
very-defensive,3.730939733
very-defensive,1.489869424
very-defensive,3.033236145
very-defensive,1.021167009
very-defensive,2.183338511
very-defensive,0.820787405
very-defensive,0.737601164
very-defensive,1.170474511
very-defensive,1.487985725
very-defensive,2.592654278
very-defensive,1.225639199
very-defensive,1.212372998
very-defensive,2.911485099
very-defensive,4.813012065
very-defensive,2.749115418
very-defensive,1.067625911
very-defensive,0.455260728
very-defensive,2.313283739
very-defensive,2.518764794
very-defensive,0.767164628
very-defensive,2.859809068
very-defensive,-0.128907111
very-defensive,2.033690826
very-defensive,2.326469944
very-defensive,3.039748082
very-defensive,3.217215956
very-defensive,1.228861027
very-defensive,0.569400169
very-defensive,2.40871041
very-defensive,1.778607199
very-defensive,1.507162394
very-defensive,2.491022975
very-defensive,1.396858434
very-defensive,1.529513451
very-defensive,1.756933357
very-defensive,2.088300809
very-defensive,0.834949487
very-defensive,2.136536105
very-defensive,2.293339215
very-defensive,0.123527016
very-defensive,0.734757555
very-defensive,1.431164248
very-defensive,1.840268381
very-defensive,3.065673076
very-defensive,1.620719833
very-defensive,1.164430959
very-defensive,2.529009398
very-defensive,1.182818542
very-defensive,2.329073471
very-defensive,0.849577578
very-defensive,0.936871858
very-defensive,0.660273838
very-defensive,1.818524433
very-defensive,1.824902783
very-defensive,1.282239057
very-defensive,1.010036043
very-defensive,1.806722603
very-defensive,2.95408962
very-defensive,0.365615207
very-defensive,2.22321817
very-defensive,1.490697496
very-defensive,0.223782578
very-defensive,2.368220877
very-defensive,1.513404277
very-defensive,1.077677941
very-defensive,3.25055801
very-defensive,2.002998604
very-defensive,1.470278308
very-defensive,1.630341587
very-defensive,2.658904575
very-defensive,2.29048342
very-defensive,2.24122724
very-defensive,1.880900738
very-defensive,2.698738027
very-defensive,1.453837391
very-defensive,2.738116266
very-defensive,0.559033466
very-defensive,1.867618585
very-defensive,1.61200881
very-defensive,0.749065596
very-defensive,1.830092153
very-defensive,2.320152157
very-defensive,2.460379628
very-defensive,1.624800717
very-defensive,0.769879016
very-defensive,0.901376129
very-defensive,2.369606868
very-defensive,3.094701461
very-defensive,1.372817106
very-defensive,0.779168123
very-defensive,1.355464758
very-defensive,1.24027288
very-defensive,0.99096827
very-defensive,2.582980615
very-defensive,0.397534739
