model,return
barbell,4.577725578
barbell,3.618469666
barbell,2.760759833
barbell,2.839221725
barbell,3.275667557
barbell,2.815283352
barbell,3.520451682
barbell,5.655229138
barbell,3.921632756
barbell,2.844144123
barbell,2.006393249
barbell,2.427039184
barbell,4.818832617
barbell,3.465325511
barbell,3.736437931
barbell,1.532645572
barbell,4.59814379
barbell,3.003855552
barbell,5.544703467
barbell,2.689552757
barbell,2.705763681
barbell,5.154244308
barbell,6.83978471
barbell,2.802388838
barbell,1.810654144
barbell,3.789711302
barbell,3.228943354
barbell,3.594584472
barbell,3.884963218
barbell,3.176451259
barbell,3.054347754
barbell,4.1653604
barbell,0.282815479
barbell,3.473295352
barbell,5.139346803
barbell,5.309819529
barbell,4.387593108
barbell,2.358972074
barbell,1.206303765
barbell,5.554758661
barbell,0.167358347
barbell,1.919506863
barbell,4.395825053
barbell,3.165886587
barbell,0.503051179
barbell,1.851019134
barbell,1.816110151
barbell,1.902225231
barbell,3.898144189
barbell,0.938168103
barbell,2.474458536
barbell,1.491503325
barbell,1.715391536
barbell,2.141874929
barbell,3.500133957
barbell,3.556958249
barbell,0.842325927
barbell,4.323803801
barbell,1.906793529
barbell,3.074156757
barbell,2.259519625
barbell,4.575555231
barbell,1.952675817
barbell,1.465251562
barbell,3.579054608
barbell,1.026084578
barbell,0.483055958
barbell,3.122211559
barbell,4.654158492
barbell,4.851995638
barbell,2.82362736
barbell,2.335294606
barbell,4.479375699
barbell,4.734899665
barbell,3.59503431
barbell,1.412522171
barbell,2.259675513
barbell,2.180272992
barbell,3.388015788
barbell,4.37779907
barbell,1.289062287
barbell,3.900899585
barbell,2.52222428
barbell,4.601881837
barbell,5.448921717
barbell,3.606861923
barbell,5.263763166
barbell,1.105654868
barbell,3.743022499
barbell,3.362485748
barbell,2.538282813
barbell,3.289002704
barbell,4.695209642
barbell,3.057959873
barbell,3.858505308
barbell,2.190746268
barbell,4.781503907
barbell,4.029514816
barbell,1.558585998
barbell,3.223541149
barbell,1.956479414
barbell,4.14935076
barbell,3.369054936
barbell,3.181372384
barbell,4.580277809
barbell,2.802898716
barbell,2.266589761
barbell,1.135339943
barbell,4.505708536
barbell,0.227846462
barbell,2.553947657
barbell,3.770150885
barbell,1.904837835
barbell,2.333631356
barbell,2.059897311
barbell,2.350368906
barbell,3.818072975
barbell,2.92875055
barbell,1.016310365
barbell,2.431523056
barbell,3.382274294
barbell,3.168589896
barbell,3.528266543
barbell,5.582214551
barbell,0.170250504
barbell,1.945535328
barbell,5.563252089
barbell,0.845158302
barbell,3.226484467
barbell,1.613238379
barbell,2.040150369
barbell,2.312820652
barbell,2.84386196
barbell,0.694955913
barbell,2.592835068
barbell,2.799992202
barbell,3.457894031
barbell,4.33372289
barbell,3.378852515
barbell,2.279163031
barbell,4.487028045
barbell,4.796069994
barbell,3.820154675
barbell,4.364007893
barbell,4.998801454
barbell,5.708009442
barbell,2.960031444
barbell,3.56575192
barbell,4.645254681
barbell,2.644011401
barbell,5.990265036
barbell,4.925391886
barbell,3.368541865
barbell,1.882479426
barbell,2.967182166
barbell,4.046767223
barbell,3.744083502
barbell,4.163127025
barbell,3.911141385
barbell,1.976504524
barbell,3.647255654
barbell,1.461188359
barbell,5.173823577
barbell,2.19836645
barbell,1.113452667
barbell,3.658744931
barbell,4.332877719
barbell,2.770144807
barbell,5.433160566
barbell,2.142592882
barbell,5.928316034
barbell,1.324134888
barbell,2.873726362
barbell,6.83974822
barbell,3.456105098
barbell,2.194666223
barbell,2.497583591
barbell,3.930118156
barbell,1.165903017
barbell,1.092700704
barbell,2.803990826
barbell,2.688675572
barbell,2.101738392
barbell,0.9805319
barbell,1.375906949
barbell,1.58641659
barbell,-0.03102012
barbell,2.282757851
barbell,4.500008254
barbell,2.810229023
barbell,5.407157125
barbell,5.607418483
barbell,2.528641694
barbell,4.537977924
barbell,4.472955143
barbell,0.647715375
barbell,2.063579389
barbell,3.433879089
barbell,1.841048052
barbell,2.019492982
barbell,2.753020766
barbell,3.763094271
barbell,2.426950803
barbell,2.619560998
barbell,4.438065354
barbell,3.875524829
barbell,2.933592258
barbell,2.891036441
barbell,5.525257889
barbell,2.940053521
barbell,4.452773036
barbell,5.285707931
barbell,2.788627916
barbell,2.462537182
barbell,0.393396854
barbell,2.629573742
barbell,2.878669627
barbell,3.241930538
barbell,6.549660969
barbell,4.653041454
barbell,2.965754172
barbell,6.283810633
barbell,1.688771017
barbell,2.75182548
barbell,2.857204619
barbell,0.513301992
barbell,-0.958671201
barbell,4.592516266
barbell,3.861303696
barbell,3.536407263
barbell,5.394270833
barbell,1.155869108
barbell,3.571814641
barbell,4.998143328
barbell,2.353644585
barbell,2.985559298
barbell,2.713443167
barbell,3.042558339
barbell,4.016430956
barbell,2.746822486
barbell,4.410372188
barbell,1.559530742
barbell,5.021093012
barbell,4.966875517
barbell,0.141170172
barbell,4.870619635
barbell,2.113367583
barbell,0.914154852
barbell,1.934839813
barbell,1.954443862
barbell,5.492921269
barbell,1.018436135
barbell,4.114001571
barbell,3.296771074
barbell,3.366300492
barbell,1.439781237
barbell,2.914592697
barbell,1.604162839
barbell,2.511592568
barbell,1.413944895
barbell,3.445143629
barbell,2.335214247
barbell,3.203668437
barbell,1.732230083
barbell,2.42772275
barbell,3.228966805
barbell,2.587020666
barbell,3.908818616
barbell,4.74688634
barbell,1.699139107
barbell,2.331244056
barbell,2.766341014
barbell,2.470332576
barbell,5.803926909
barbell,3.736591191
barbell,2.727044489
barbell,1.85675154
barbell,0.959371404
barbell,2.380036539
barbell,5.412525117
barbell,3.999108368
barbell,3.845862158
barbell,4.647684447
barbell,2.438827133
barbell,2.941805549
barbell,4.281920338
barbell,2.598852077
barbell,2.03056657
barbell,2.672401955
barbell,1.886963481
barbell,3.415550944
barbell,3.170391108
barbell,3.243136713
barbell,1.218613594
barbell,1.630423792
barbell,3.876338024
barbell,4.37204885
barbell,5.236165083
barbell,1.258058975
barbell,5.010566567
barbell,1.501555789
barbell,4.686842634
barbell,2.996452059
barbell,1.386581515
barbell,1.865126674
barbell,3.302904717
barbell,6.468455354
barbell,1.379925199
barbell,6.554677032
barbell,3.206095981
barbell,1.326737032
barbell,1.96832361
barbell,3.147782873
barbell,4.655137365
barbell,4.19136374
barbell,4.643292607
barbell,2.47763831
barbell,6.088338553
barbell,1.46381584
barbell,0.397119041
barbell,0.13773177
barbell,4.189447101
barbell,1.272849663
barbell,3.045023069
barbell,4.585076095
barbell,3.087225732
barbell,4.010769316
barbell,2.437403731
barbell,1.265357766
barbell,3.611154086
barbell,2.106551056
barbell,3.860528865
barbell,3.527924007
barbell,3.561230824
barbell,3.548168172
barbell,3.550474806
barbell,0.307858954
barbell,2.362972193
barbell,0.461188203
barbell,2.443626124
barbell,4.194466971
barbell,5.381990965
barbell,0.433268878
barbell,4.797818166
barbell,2.16326211
barbell,2.377997175
barbell,1.448087934
barbell,1.865475683
barbell,0.03485322
barbell,3.232806272
barbell,4.363174783
barbell,0.591673038
barbell,5.803230103
barbell,-1.422435792
barbell,2.682460002
barbell,3.085267367
barbell,2.258103328
barbell,3.183606901
barbell,4.191490746
barbell,3.328495697
barbell,2.157291694
barbell,2.657353769
barbell,3.065805128
barbell,2.609017894
barbell,3.656690914
barbell,3.595586922
barbell,2.752927196
barbell,3.956324676
barbell,-0.756351234
barbell,3.15742578
barbell,3.220426635
barbell,4.233276659
barbell,4.65820851
barbell,1.978840205
barbell,6.877913723
barbell,0.197461015
barbell,5.892986608
barbell,0.153075575
barbell,2.00580738
barbell,3.531389057
barbell,4.069678874
barbell,0.923495237
barbell,5.37251866
barbell,4.539407076
barbell,2.346663388
barbell,3.143697951
barbell,5.155267113
barbell,2.284698965
barbell,0.498534208
barbell,0.969686324
barbell,3.51948564
barbell,3.122839411
barbell,2.144886144
barbell,4.009077881
barbell,2.447405895
barbell,3.290325574
barbell,3.659408339
barbell,4.113819923
barbell,2.429801334
barbell,3.091463373
barbell,3.13267381
barbell,2.509474749
barbell,1.478708239
barbell,1.514239692
barbell,3.693426447
barbell,5.166109961
barbell,3.895992275
barbell,3.89289627
barbell,3.369192242
barbell,4.716229909
barbell,1.095436354
barbell,2.66704475
barbell,2.828440737
barbell,4.675164248
barbell,4.666375262
barbell,5.370210419
barbell,0.371283092
barbell,2.748315984
barbell,0.71290939
barbell,2.411351226
barbell,2.319781976
barbell,3.43323251
barbell,1.918585537
barbell,2.069930846
barbell,4.17609007
barbell,3.306315558
barbell,2.382857155
barbell,3.393846475
barbell,2.28128026
barbell,2.421937043
barbell,3.508306406
barbell,1.639275953
barbell,5.347492286
barbell,0.445046981
barbell,3.411044873
barbell,1.9033602
barbell,3.512041977
barbell,5.320519252
barbell,4.59023507
barbell,3.193106676
barbell,2.530075977
barbell,5.546627359
barbell,-1.732853913
barbell,2.415753856
barbell,3.403279523
barbell,1.395689162
barbell,1.409056614
barbell,6.203062819
barbell,2.860873883
barbell,3.792857566
barbell,5.684654009
barbell,4.671548443
barbell,4.025146287
barbell,1.184980746
barbell,1.677192153
barbell,4.244860676
barbell,2.693971523
barbell,3.230614544
barbell,2.104057192
barbell,2.238328306
barbell,3.31373154
barbell,2.901865182
barbell,1.665601731
barbell,2.720810158
barbell,3.46929372
barbell,3.371309947
barbell,2.9287504
barbell,0.953661391
barbell,2.838705445
