model,return
barbell,7.516019347
barbell,2.694982399
barbell,3.915930119
barbell,3.609397243
barbell,1.637247127
barbell,3.170931263
barbell,5.799269904
barbell,2.240212205
barbell,1.17355513
barbell,1.424315036
barbell,2.576649511
barbell,5.180805008
barbell,2.536224658
barbell,6.973777874
barbell,3.547713898
barbell,4.768964885
barbell,-0.319058422
barbell,1.948790651
barbell,6.752075354
barbell,4.206060554
barbell,4.240696704
barbell,2.581720646
barbell,1.150966098
barbell,3.687232925
barbell,7.966192932
barbell,4.150468703
barbell,3.520484471
barbell,2.180280512
barbell,2.116203538
barbell,3.849260154
barbell,4.260754508
barbell,4.226094006
barbell,4.470162969
barbell,0.437470751
barbell,4.522310254
barbell,4.292341377
barbell,5.34216356
barbell,4.318022064
barbell,-0.370728499
barbell,4.645246311
barbell,2.208089673
barbell,2.502812185
barbell,2.274684823
barbell,1.937851154
barbell,3.190058054
barbell,6.589633992
barbell,4.248247249
barbell,3.712466234
barbell,3.503118512
barbell,3.711494894
barbell,2.087961188
barbell,3.253149742
barbell,5.992032745
barbell,1.697339595
barbell,1.976864082
barbell,5.69267387
barbell,1.77134639
barbell,3.660297787
barbell,6.754119938
barbell,1.958791423
barbell,4.526303714
barbell,3.97731124
barbell,4.432870941
barbell,2.38550327
barbell,3.898122758
barbell,4.59334626
barbell,5.720389588
barbell,6.130837406
barbell,3.449080302
barbell,4.336696867
barbell,2.579992192
barbell,6.420901794
barbell,1.512510573
barbell,5.008854536
barbell,1.853008646
barbell,3.7058048
barbell,4.263823099
barbell,2.256633553
barbell,6.582003362
barbell,5.355151537
barbell,3.946687089
barbell,4.016562371
barbell,5.418975688
barbell,0.50227785
barbell,0.969022283
barbell,7.9191549
barbell,4.242320679
barbell,3.729550595
barbell,5.179962632
barbell,3.377975885
barbell,2.05592874
barbell,4.13812274
barbell,4.617438023
barbell,1.270863524
barbell,3.5957444
barbell,5.428213073
barbell,2.549511087
barbell,4.635591901
barbell,2.614140897
barbell,3.619132507
barbell,4.379947942
barbell,3.19236236
barbell,4.685317262
barbell,5.189000429
barbell,3.229822043
barbell,4.253531495
barbell,1.21980974
barbell,3.005054965
barbell,3.324619565
barbell,2.794515327
barbell,4.396092281
barbell,3.641247911
barbell,1.131089966
barbell,5.384998837
barbell,1.810243322
barbell,1.871813669
barbell,3.435879136
barbell,3.593971287
barbell,4.709908965
barbell,5.609356578
barbell,3.821776139
barbell,4.631630025
barbell,0.726677879
barbell,4.534665064
barbell,2.345060468
barbell,1.150426885
barbell,3.917859795
barbell,5.792983158
barbell,6.611915973
barbell,5.225918055
barbell,3.964324587
barbell,0.127060992
barbell,6.54456517
barbell,4.193803292
barbell,2.823090623
barbell,2.466580388
barbell,3.54085869
barbell,2.920986866
barbell,2.778696028
barbell,4.220282496
barbell,5.262007764
barbell,3.158382853
barbell,4.310308046
barbell,3.030877459
barbell,4.992206983
barbell,1.973100596
barbell,5.609936002
barbell,3.330127999
barbell,5.141712256
barbell,4.275708579
barbell,0.687186293
barbell,6.012179364
barbell,2.373857531
barbell,2.494600216
barbell,3.046970987
barbell,2.289571922
barbell,-0.984012755
barbell,2.552943049
barbell,6.302790436
barbell,7.480100865
barbell,3.222906211
barbell,3.135266098
barbell,7.769470955
barbell,3.699791037
barbell,0.019315902
barbell,3.609515221
barbell,1.232553657
barbell,3.458511431
barbell,7.494181682
barbell,2.850244151
barbell,1.367310144
barbell,4.161481057
barbell,1.075812464
barbell,4.051587313
barbell,2.304749553
barbell,4.348799988
barbell,4.469896892
barbell,2.879727467
barbell,3.871958724
barbell,2.79408617
barbell,4.436935401
barbell,0.642349772
barbell,2.87181231
barbell,-0.122449641
barbell,3.093230888
barbell,2.46728765
barbell,4.913748606
barbell,5.867592879
barbell,2.381310132
barbell,3.346685009
barbell,2.852351585
barbell,5.995946245
barbell,6.385121138
barbell,5.876678412
barbell,2.859103831
barbell,3.60267043
barbell,5.527236471
barbell,2.362176522
barbell,7.329725724
barbell,4.685510795
barbell,4.358062701
barbell,4.223223763
barbell,0.103396019
barbell,2.472050954
barbell,4.365448601
barbell,5.593550344
barbell,4.52727759
barbell,4.247071886
barbell,2.699765685
barbell,-0.351931605
barbell,1.21192944
barbell,6.677717489
barbell,3.073689556
barbell,2.227026342
barbell,2.829803263
barbell,8.678758481
barbell,-0.086624379
barbell,5.991175299
barbell,0.459197201
barbell,2.378468888
barbell,0.942547389
barbell,3.769949048
barbell,3.428051237
barbell,3.653866943
barbell,3.827034433
barbell,0.184278796
barbell,4.718464994
barbell,4.88050404
barbell,2.230949899
barbell,4.06030254
barbell,3.447766364
barbell,4.26352484
barbell,7.02944177
barbell,2.414356595
barbell,5.744545377
barbell,4.540522498
barbell,1.971061497
barbell,2.996512667
barbell,4.489348489
barbell,4.170863505
barbell,4.475218836
barbell,2.783802934
barbell,-0.318745328
barbell,6.995255097
barbell,4.71303364
barbell,3.040001949
barbell,3.121912733
barbell,3.253846282
barbell,2.88865932
barbell,5.506720571
barbell,3.625685776
barbell,4.082899758
barbell,2.660557889
barbell,5.221973584
barbell,3.092748447
barbell,5.066336979
barbell,3.881804487
barbell,6.290057664
barbell,0.319902236
barbell,4.52046931
barbell,4.659907743
barbell,4.71313768
barbell,3.181318204
barbell,4.566323866
barbell,1.669583393
barbell,4.347841744
barbell,1.064543913
barbell,1.893695095
barbell,6.401460624
barbell,1.314812662
barbell,1.825902569
barbell,1.604020661
barbell,3.766461803
barbell,3.922266335
barbell,2.978157649
barbell,3.921752319
barbell,2.653454099
barbell,6.242738067
barbell,5.648234882
barbell,3.081584319
barbell,4.965216888
barbell,4.227922902
barbell,5.536607894
barbell,4.979200874
barbell,3.129407996
barbell,5.135077716
barbell,6.293463769
barbell,6.377854815
barbell,6.160999752
barbell,2.599751577
barbell,1.03770302
barbell,3.782544203
barbell,3.501631105
barbell,3.130234412
barbell,3.212562045
barbell,2.986628286
barbell,3.659777583
barbell,4.24456171
barbell,3.165154745
barbell,2.359732852
barbell,3.626641288
barbell,1.578453228
barbell,0.805256464
barbell,3.298503717
barbell,2.435246589
barbell,1.776923141
barbell,5.827831655
barbell,1.639280371
barbell,4.504888073
barbell,1.953830286
barbell,1.825680174
barbell,5.1566589
barbell,0.767989619
barbell,5.415482755
barbell,1.921554287
barbell,5.108033284
barbell,0.596184568
barbell,3.519128034
barbell,3.021395809
barbell,6.623538536
barbell,5.298574831
barbell,6.091726811
barbell,4.356840096
barbell,1.684815215
barbell,3.231491705
barbell,4.64648372
barbell,2.881562555
barbell,5.644011471
barbell,3.243915599
barbell,-0.012432877
barbell,5.537578156
barbell,5.014268144
barbell,2.951198014
barbell,4.370138189
barbell,0.794436609
barbell,6.829135429
barbell,4.148816371
barbell,1.85761435
barbell,5.304952285
barbell,1.876652201
barbell,3.135251423
barbell,7.109770035
barbell,1.973273018
barbell,4.673340209
barbell,3.583942468
barbell,4.548425385
barbell,4.527899384
barbell,6.636603493
barbell,2.933983719
barbell,1.260066124
barbell,1.711473159
barbell,2.946300149
barbell,4.156542438
barbell,6.203004358
barbell,1.316327042
barbell,3.410073341
barbell,3.273839294
barbell,5.69783078
barbell,6.242175723
barbell,3.866546623
barbell,3.672831651
barbell,5.256470038
barbell,5.658111757
barbell,2.170633203
barbell,2.629322006
barbell,5.325030703
barbell,2.995340809
barbell,3.838258846
barbell,4.7418
barbell,2.87116201
barbell,4.680084389
barbell,2.777191751
barbell,0.216046374
barbell,3.412499124
barbell,3.219310833
barbell,2.740252651
barbell,5.718014932
barbell,6.135194578
barbell,1.126091438
barbell,2.966196346
barbell,3.347690531
barbell,4.16251753
barbell,1.982694697
barbell,3.343751179
barbell,4.273393633
barbell,4.463604445
barbell,4.300882349
barbell,2.794073189
barbell,1.313189532
barbell,4.867507199
barbell,1.415849912
barbell,5.767816919
barbell,2.423123408
barbell,3.050008735
barbell,3.708035119
barbell,7.307955741
barbell,4.609324818
barbell,4.294257657
barbell,3.308608515
barbell,7.002578702
barbell,4.76258713
barbell,6.328143058
barbell,2.470106661
barbell,1.987252591
barbell,3.212892144
barbell,4.01831616
barbell,3.733228868
barbell,2.430157629
barbell,5.594391178
barbell,2.384747873
barbell,1.164292304
barbell,2.14386363
barbell,3.172693771
barbell,2.965833644
barbell,1.43837177
barbell,4.935914411
barbell,4.612080442
barbell,2.755055223
barbell,3.789800276
barbell,5.756497324
barbell,4.169103768
barbell,6.107563389
barbell,3.096500988
barbell,4.196845205
barbell,1.310211112
barbell,0.06123757
barbell,2.868429522
barbell,1.502000286
barbell,5.629543384
barbell,6.671531635
barbell,3.096937047
barbell,3.985922742
barbell,4.954032354
barbell,3.885265107
barbell,6.34946084
barbell,5.794941603
barbell,3.437471731
barbell,3.712527455
barbell,1.320450954
barbell,1.387799796
barbell,2.172557367
barbell,3.863868419
barbell,5.690469749
barbell,3.187538947
barbell,2.866270785
barbell,6.744778017
barbell,5.542029648
barbell,1.194745612
barbell,6.643093331
barbell,3.583778484
barbell,3.545399812
barbell,3.505122445
barbell,2.318265325
barbell,3.266240682
barbell,5.987040173
barbell,5.233915533
barbell,1.885528346
barbell,5.262856379
barbell,3.674510055
barbell,4.750517675
barbell,2.43539045
barbell,3.356743137
barbell,4.258009559
barbell,-0.705708977
barbell,4.016033539
barbell,0.472003498
barbell,4.577949277
barbell,5.201940391
barbell,3.875559231
barbell,4.545464853
barbell,1.16137323
barbell,3.645407465
barbell,2.281149484
barbell,4.042374738
barbell,4.880806469
barbell,4.948620902
barbell,5.311609033
barbell,6.304881414
barbell,0.2690529
barbell,1.990198198
barbell,4.92780646
barbell,3.809517609
barbell,5.364740093
barbell,0.769563064
barbell,2.627580738
barbell,5.042874998
barbell,2.190203185
barbell,5.730226353
barbell,2.428289628
barbell,1.997073219
barbell,5.01318005
barbell,1.355028076
barbell,5.206984679
barbell,3.393998717
barbell,0.012176013
barbell,3.178374173
barbell,5.030713926
barbell,5.029524465
barbell,4.756642338
barbell,2.62192469
barbell,0.087763672
barbell,2.00164762
barbell,4.392601923
barbell,1.183465103
barbell,2.944427359
barbell,2.711509071
barbell,3.740583162
barbell,5.433148101
barbell,3.173090026
barbell,2.188468244
barbell,3.947006114
barbell,1.941683206
barbell,4.397675515
barbell,1.744872678
barbell,5.951566458
barbell,5.189686621
barbell,2.394042245
barbell,3.19830528
barbell,3.528725806
barbell,1.384657598
barbell,0.37247731
barbell,3.932662308
barbell,6.731385892
barbell,0.469055577
barbell,6.354100132
barbell,3.56378388
barbell,1.796011234
barbell,5.65072794
barbell,5.513839553
barbell,4.804554469
barbell,2.242051133
barbell,4.071388982
barbell,1.898272181
barbell,3.987825062
barbell,3.97082283
barbell,3.528370678
barbell,4.129219082
barbell,2.79696841
barbell,3.387280535
barbell,4.796801719
barbell,4.909644931
barbell,3.705466929
barbell,5.275279565
very-defensive,2.876263472
very-defensive,8.198431321
very-defensive,7.446796963
very-defensive,6.795949948
very-defensive,6.235941188
very-defensive,3.550491422
very-defensive,2.284572329
very-defensive,5.441224113
very-defensive,4.174052702
very-defensive,7.745935055
very-defensive,3.928121271
very-defensive,6.546889897
very-defensive,10.89479777
very-defensive,8.952580703
very-defensive,3.567539535
very-defensive,4.401481364
very-defensive,5.072325742
very-defensive,6.757698754
very-defensive,-0.605384326
very-defensive,3.684223389
very-defensive,4.631370903
very-defensive,9.078249011
very-defensive,4.946447074
very-defensive,4.781473591
very-defensive,7.890412436
very-defensive,6.140673886
very-defensive,7.251180878
very-defensive,4.844454661
very-defensive,3.372938855
very-defensive,7.475145031
very-defensive,4.915802381
very-defensive,10.83744
very-defensive,8.749250746
very-defensive,0.141827383
very-defensive,1.059079625
very-defensive,7.355717878
very-defensive,2.832655317
very-defensive,7.30163672
very-defensive,4.371015349
very-defensive,3.80715529
very-defensive,6.602104134
very-defensive,3.506360986
very-defensive,9.924673361
very-defensive,4.496361021
very-defensive,3.991108158
very-defensive,6.419503484
very-defensive,7.024255123
very-defensive,3.201527059
very-defensive,5.244639231
very-defensive,10.41723546
very-defensive,5.121715088
very-defensive,10.70399361
very-defensive,5.356401934
very-defensive,6.47633239
very-defensive,4.618440492
very-defensive,4.769443677
very-defensive,3.058676166
very-defensive,9.532352597
very-defensive,1.729545155
very-defensive,4.801899206
very-defensive,4.02842452
very-defensive,3.138834309
very-defensive,5.871993365
very-defensive,5.118824299
very-defensive,5.989922643
very-defensive,1.64108763
very-defensive,7.760847934
very-defensive,3.658626678
very-defensive,6.355713921
very-defensive,3.061829069
very-defensive,10.25828671
very-defensive,5.29095454
very-defensive,2.191827009
very-defensive,5.603020019
very-defensive,3.247215737
very-defensive,2.017496668
very-defensive,6.969424949
very-defensive,4.592843374
very-defensive,5.405298562
very-defensive,8.509016787
very-defensive,2.572910069
very-defensive,6.066085882
very-defensive,9.44402208
very-defensive,6.261314597
very-defensive,3.252653026
very-defensive,3.15241192
very-defensive,2.774642336
very-defensive,4.249518843
very-defensive,4.03805947
very-defensive,8.997945836
very-defensive,4.913345113
very-defensive,5.019191824
very-defensive,1.580547662
very-defensive,6.001654264
very-defensive,4.704938004
very-defensive,11.89753475
very-defensive,3.159816707
very-defensive,10.34048392
very-defensive,7.771079157
very-defensive,4.469214355
very-defensive,8.471423612
very-defensive,5.360520574
very-defensive,8.94059753
very-defensive,10.30672822
very-defensive,2.859438505
very-defensive,1.441410382
very-defensive,1.105166895
very-defensive,9.466261057
very-defensive,1.476738842
very-defensive,4.291601716
very-defensive,5.166612525
very-defensive,1.298044628
very-defensive,3.965211849
very-defensive,2.992101879
very-defensive,9.381203406
very-defensive,6.906581136
very-defensive,4.505682847
very-defensive,4.818390051
very-defensive,3.438648998
very-defensive,6.193423894
very-defensive,2.764416475
very-defensive,9.093828975
very-defensive,5.125945163
very-defensive,1.873796246
very-defensive,7.074347678
very-defensive,0.15338509
very-defensive,3.685944822
very-defensive,6.605568853
very-defensive,5.727450099
very-defensive,9.967601755
very-defensive,2.099018953
very-defensive,4.612642616
very-defensive,7.848196949
very-defensive,5.763278851
very-defensive,3.400264039
very-defensive,1.38610928
very-defensive,5.597676456
very-defensive,3.229935289
very-defensive,4.574269746
very-defensive,7.479145989
very-defensive,1.459275923
very-defensive,5.13342701
very-defensive,8.004427844
very-defensive,8.377808978
very-defensive,4.907773243
very-defensive,6.221391266
very-defensive,2.044562648
very-defensive,3.669975551
very-defensive,8.053282994
very-defensive,1.757230175
very-defensive,4.106303481
very-defensive,-0.800211061
very-defensive,8.460617497
very-defensive,4.910511748
very-defensive,5.660020383
very-defensive,4.623162532
