model,return
neutral,-0.58444989
neutral,4.294335621
neutral,4.025899619
neutral,1.936792865
neutral,4.434754582
neutral,4.029852413
neutral,2.515744616
neutral,3.347147645
neutral,0.619705035
neutral,4.183996777
neutral,2.092968072
neutral,1.972403992
neutral,2.00407341
neutral,3.766391384
neutral,4.552375291
neutral,0.976955264
neutral,3.208297409
neutral,3.577599453
neutral,1.550428766
neutral,3.463643955
neutral,1.861153073
neutral,0.241388941
neutral,4.015976658
neutral,2.883528661
neutral,1.54697828
neutral,3.352963534
neutral,2.416149982
neutral,4.27336536
neutral,2.299528669
neutral,0.946972862
neutral,1.743633526
neutral,2.177634792
neutral,3.60163011
neutral,5.070790364
neutral,2.172052088
neutral,2.128770824
neutral,7.149513066
neutral,2.518935626
neutral,5.414682884
neutral,0.142787085
neutral,2.786673238
neutral,-0.517739166
neutral,3.323312505
neutral,3.946698804
neutral,1.771990198
neutral,1.817270025
neutral,1.543166012
neutral,3.529093313
neutral,1.552807553
neutral,4.517386187
neutral,3.716118557
neutral,4.676720907
neutral,2.512659401
neutral,3.499385176
neutral,4.155488662
neutral,2.314844853
neutral,2.974167312
neutral,4.24266748
neutral,2.84476818
neutral,5.609041375
neutral,0.257883404
neutral,3.077279498
neutral,3.181167115
neutral,3.166257329
neutral,3.960260525
neutral,4.016088684
neutral,3.965773999
neutral,1.869658499
neutral,3.392598659
neutral,3.133614486
neutral,5.387775756
neutral,4.30655834
neutral,5.278539412
neutral,2.262605657
neutral,0.467752498
neutral,5.450786045
neutral,3.349242399
neutral,2.609690552
neutral,4.107092432
neutral,4.162324124
neutral,0.96042923
neutral,4.434089447
neutral,2.881111188
neutral,2.799078924
neutral,-0.934189422
neutral,2.553236693
neutral,2.352242567
neutral,2.537125457
neutral,1.148059241
neutral,0.698415862
neutral,-0.220417134
neutral,0.082961988
neutral,1.899292464
neutral,2.807229902
neutral,3.354879477
neutral,4.295495141
neutral,2.154639416
neutral,5.162171853
neutral,2.638538942
neutral,3.387360974
neutral,1.958116039
neutral,3.540278374
neutral,0.11713832
neutral,3.887037063
neutral,2.293855795
neutral,4.563990751
neutral,4.114401607
neutral,2.806649062
neutral,4.202175421
neutral,1.837435369
neutral,4.685945864
neutral,1.799970278
neutral,2.741150928
neutral,3.40915716
neutral,2.7293772
neutral,4.620485435
neutral,3.802625302
neutral,2.620434033
neutral,1.400500183
neutral,4.718842275
neutral,2.475756809
neutral,3.355078276
neutral,2.416364859
neutral,4.392727517
neutral,2.828189789
neutral,4.667292161
neutral,1.737118304
neutral,4.793118878
neutral,3.299889986
neutral,4.960452324
neutral,1.322821901
neutral,2.516395394
neutral,1.521939241
neutral,2.799335601
neutral,4.119186992
neutral,3.653051925
neutral,0.692361472
neutral,4.523222806
neutral,3.831571075
neutral,3.080858471
neutral,2.956080775
neutral,4.175871579
neutral,4.319591834
neutral,4.075623026
neutral,4.69647423
neutral,5.954368576
neutral,3.334195915
neutral,2.216426056
neutral,3.617819817
neutral,3.491900801
neutral,3.549311897
neutral,2.145942053
neutral,1.07190673
neutral,3.95815408
neutral,1.078686174
neutral,4.589786396
neutral,0.570494368
neutral,1.856336608
neutral,2.751273417
neutral,2.927651823
neutral,2.098065785
neutral,5.019922435
neutral,5.607194525
neutral,3.504106605
neutral,4.626322173
neutral,4.74678049
neutral,0.701465974
neutral,3.013017418
neutral,1.52365354
neutral,2.119381153
neutral,2.894691545
neutral,5.418306794
neutral,2.43656112
neutral,3.809828121
neutral,4.768517434
neutral,4.546378625
neutral,4.244257736
neutral,2.376119849
neutral,6.124140871
neutral,3.394801087
neutral,2.853699968
neutral,4.208150515
neutral,1.459859767
neutral,2.087216277
neutral,4.199355483
neutral,4.578610124
neutral,4.238968481
neutral,2.783518052
neutral,2.44847119
neutral,1.458045322
neutral,2.896057241
neutral,0.210734055
neutral,1.807404763
neutral,2.0829821
neutral,-0.394338217
neutral,1.794954567
neutral,6.740471629
neutral,0.469667675
neutral,5.277550865
neutral,2.260486657
neutral,-0.837438934
neutral,2.285693477
neutral,4.549357516
neutral,1.145635095
neutral,4.013436666
neutral,3.05320015
neutral,0.028480087
neutral,2.328028759
neutral,3.995813412
